rn_number,permit_number,publish_date,relative_file_location
RN101921781,80287,11-30-2017,data/MAERT/RN101921781_80287_11-30-2017_1711913564.pdf
RN100218973,19168,10-13-2022,data/MAERT/RN100218973_19168_10-13-2022_1711191950.pdf
RN100212216,34401,4-3-1998,data/MAERT/RN100212216_34401_4-3-1998_1712531273.pdf
RN100221589,3921,9-5-1995,data/MAERT/RN100221589_3921_9-5-1995_1712631751.pdf
RN102287257,84349,2-21-2012,data/MAERT/RN102287257_84349_2-21-2012_1712983633.pdf
RN102605235,144559,6-30-2017,data/MAERT/RN102605235_144559_6-30-2017_1711237537.pdf
RN102185717,18775,11-28-1994,data/MAERT/RN102185717_18775_11-28-1994_1713230297.pdf
RN102605235,144559,11-30-2018,data/MAERT/RN102605235_144559_11-30-2018_1711237538.pdf
RN100640580,4523,9-15-2004,data/MAERT/RN100640580_4523_9-15-2004_1713393239.pdf
RN100711118,17848,5-15-1997,data/MAERT/RN100711118_17848_5-15-1997_1712068742.pdf
RN102516937,8941,8-11-2016,data/MAERT/RN102516937_8941_8-11-2016_1713639223.pdf
RN100218247,3962,6-3-2003,data/MAERT/RN100218247_3962_6-3-2003_1712057908.pdf
RN104394754,73072,3-30-2005,data/MAERT/RN104394754_73072_3-30-2005_1713110746.pdf
RN100209568,22094,7-14-1997,data/MAERT/RN100209568_22094_7-14-1997_1712635058.pdf
RN102897436,36784,3-4-1998,data/MAERT/RN102897436_36784_3-4-1998_1713282730.pdf
RN100222900,22088,11-28-2017,data/MAERT/RN100222900_22088_11-28-2017_1713503176.pdf
RN102414232,48189,2-9-2009,data/MAERT/RN102414232_48189_2-9-2009_1711945571.pdf
RN101623254,9074,9-3-1998,data/MAERT/RN101623254_9074_9-3-1998_1712749222.pdf
RN102567310,870,5-26-2004,data/MAERT/RN102567310_870_5-26-2004_1711109929.pdf
RN104402920,73233,1-31-2013,data/MAERT/RN104402920_73233_1-31-2013_1713832514.pdf
RN102444452,17485,12-20-2002,data/MAERT/RN102444452_17485_12-20-2002_1713408845.pdf
RN100219351,4804,5-26-1995,data/MAERT/RN100219351_4804_5-26-1995_1713710574.pdf
RN102817186,23167,6-21-2013,data/MAERT/RN102817186_23167_6-21-2013_1712637938.pdf
RN101500965,22925,10-4-2002,data/MAERT/RN101500965_22925_10-4-2002_1713507033.pdf
RN100672393,21924,6-19-2003,data/MAERT/RN100672393_21924_6-19-2003_1711176719.pdf
RN100838325,17703,1-30-2008,data/MAERT/RN100838325_17703_1-30-2008_1711987916.pdf
RN100859255,21258,10-11-2002,data/MAERT/RN100859255_21258_10-11-2002_1711240317.pdf
RN100218130,23551,5-13-1994,data/MAERT/RN100218130_23551_5-13-1994_1711887209.pdf
RN101969897,32850,2-12-1997,data/MAERT/RN101969897_32850_2-12-1997_1711834510.pdf
RN100215011,25425,11-12-1997,data/MAERT/RN100215011_25425_11-12-1997_1713095187.pdf
RN102457520,16840,12-8-1993,data/MAERT/RN102457520_16840_12-8-1993_1712887085.pdf
RN100220110,8068,8-13-1999,data/MAERT/RN100220110_8068_8-13-1999_1712873946.pdf
RN101625721,41749,5-12-2010,data/MAERT/RN101625721_41749_5-12-2010_1712117860.pdf
RN100835081,29283,3-31-2006,data/MAERT/RN100835081_29283_3-31-2006_1713934475.pdf
RN102746278,21169A,2-23-1999,data/MAERT/RN102746278_21169A_2-23-1999_1712000850.pdf
RN100218049,55239,10-20-2008,data/MAERT/RN100218049_55239_10-20-2008_1713229080.pdf
RN104467048,74925L001,10-7-2005,data/MAERT/RN104467048_74925L001_10-7-2005_1713122803.pdf
RN100219393,562,9-27-2013,data/MAERT/RN100219393_562_9-27-2013_1712717067.pdf
RN102914033,46721,2-3-2009,data/MAERT/RN102914033_46721_2-3-2009_1713381215.pdf
RN101301232,77493,2-17-2016,data/MAERT/RN101301232_77493_2-17-2016_1713858102.pdf
